0,0,0
50,0,0
100,0,0
150,0,0
200,0,0
250,0,0
300,0,0
350,0,0
400,0,0
450,0,0
500,0,0
550,0,0
600,0,0
650,0,0
700,1,0.5
750,0,0
800,0,0
850,0,0
900,0,0
950,0,0
1000,0,0
1050,0,0
1100,0,0
1150,0,0
1200,0,0
1250,0,0
1300,0,0
1350,0,0
1400,0,0
1450,0,0
1500,5,2.5
1550,0,0
1600,0,0
1650,0,0
1700,0,0
1750,0,0
1800,0,0
1850,0,0
1900,0,0
1950,0,0
2000,0,0
2050,0,0
2100,0,0
2150,0,0
2200,0,0
2250,0,0
2300,2,1
2350,0,0
2400,0,0
2450,0,0
2500,0,0
2550,0,0
2600,0,0
2650,0,0
2700,0,0
2750,0,0
2800,0,0
2850,0,0
2900,0,0
2950,0,0
3000,0,0
3050,0,0
3100,0,0
3150,0,0
3200,0,0
3250,0,0
3300,0,0
3350,0,0
3400,0,0
3450,0,0
3500,0,0
3550,0,0
3600,0,0
3650,0,0
3700,0,0
3750,0,0
3800,0,0
3850,0,0
3900,0,0
3950,0,0
4000,0,0
4050,0,0
4100,0,0
4150,0,0
4200,0,0
4250,0,0
4300,0,0
4350,0,0
4400,0,0
4450,0,0
4500,0,0
4550,0,0
4600,0,0
4650,0,0
4700,0,0
4750,0,0
4800,0,0
4850,0,0
4900,0,0
4950,0,0
5000,0,0
5050,0,0
5100,0,0
5150,0,0
5200,0,0
5250,0,0
5300,0,0
5350,0,0
5400,0,0
5450,0,0
5500,0,0
5550,0,0
5600,0,0
5650,0,0
5700,0,0
5750,0,0
5800,0,0
5850,0,0
5900,0,0
5950,0,0
6000,0,0
6050,0,0
6100,0,0
6150,0,0
6200,0,0
6250,0,0
6300,0,0
6350,0,0
6400,0,0
6450,0,0
6500,0,0
6550,0,0
6600,0,0
6650,0,0
6700,0,0
6750,0,0
6800,0,0
6850,0,0
6900,0,0
6950,0,0
7000,0,0
7050,3,1.5
7100,9,4.5
7150,12,6
7200,15,7.5
7250,19,9.5
7300,25,12.5
7350,31,15.5
7400,37,18.5
7450,42,21
7500,47,23.5
7550,51,25.5
7600,56,28
7650,60,30
7700,64,32
7750,67,33.5
7800,70,35
7850,72,36
7900,75,37.5
7950,76,38
8000,77,38.5
8050,78,39
8100,78,39
8150,82,41
8200,80,40
8250,81,40.5
8300,82,41
8350,82,41
8400,83,41.5
8450,83,41.5
8500,84,42
8550,84,42
8600,85,42.5
8650,86,43
8700,86,43
8750,87,43.5
8800,88,44
8850,89,44.5
8900,89,44.5
8950,90,45
9000,90,45
9050,91,45.5
9100,91,45.5
9150,91,45.5
9200,91,45.5
9250,92,46
9300,92,46
9350,92,46
9400,92,46
9450,92,46
9500,92,46
9550,93,46.5
9600,93,46.5
9650,93,46.5
9700,93,46.5
9750,93,46.5
9800,93,46.5
9850,94,47
9900,94,47
9950,94,47
10000,94,47
10050,94,47
10100,95,47.5
10150,95,47.5
10200,96,48
10250,95,47.5
10300,95,47.5
10350,95,47.5
10400,95,47.5
10450,95,47.5
10500,96,48
10550,96,48
10600,96,48
10650,93,46.5
10700,100,50
10750,96,48
10800,96,48
10850,96,48
10900,97,48.5
10950,97,48.5
11000,97,48.5
11050,97,48.5
11100,97,48.5
11150,94,47
11200,97,48.5
11250,97,48.5
11300,97,48.5
11350,97,48.5
11400,97,48.5
11450,97,48.5
11500,97,48.5
11550,97,48.5
11600,97,48.5
11650,97,48.5
11700,97,48.5
11750,97,48.5
11800,96,48
11850,97,48.5
11900,98,49
11950,98,49
12000,98,49
12050,98,49
12100,98,49
12150,98,49
12200,98,49
12250,98,49
12300,98,49
12350,98,49
12400,98,49
12450,98,49
12500,98,49
12550,98,49
12600,98,49
12650,98,49
12700,98,49
12750,98,49
12800,98,49
12850,98,49
12900,98,49
12950,98,49
13000,100,50
13050,98,49
13100,98,49
13150,98,49
13200,98,49
13250,99,49.5
13300,98,49
13350,99,49.5
13400,98,49
13450,99,49.5
13500,99,49.5
13550,99,49.5
13600,98,49
13650,94,47
13700,98,49
13750,98,49
13800,98,49
13850,99,49.5
13900,98,49
13950,99,49.5
14000,99,49.5
14050,99,49.5
14100,99,49.5
14150,99,49.5
14200,99,49.5
14250,99,49.5
14300,99,49.5
14350,98,49
14400,99,49.5
14450,99,49.5
14500,99,49.5
14550,99,49.5
14600,99,49.5
14650,98,49
14700,99,49.5
14750,99,49.5
14800,99,49.5
14850,99,49.5
14900,99,49.5
14950,99,49.5
15000,99,49.5
15050,98,49
15100,98,49
15150,98,49
15200,98,49
15250,98,49
15300,97,48.5
15350,97,48.5
15400,97,48.5
15450,96,48
15500,96,48
15550,96,48
15600,96,48
15650,95,47.5
15700,95,47.5
15750,94,47
15800,94,47
15850,93,46.5
15900,93,46.5
15950,93,46.5
16000,92,46
16050,91,45.5
16100,91,45.5
16150,91,45.5
16200,90,45
16250,90,45
16300,90,45
16350,88,44
16400,87,43.5
16450,86,43
16500,84,42
16550,81,40.5
16600,77,38.5
16650,70,35
16700,64,32
16750,58,29
16800,49,24.5
16850,39,19.5
16900,33,16.5
16950,30,15
17000,28,14
17050,26,13
17100,25,12.5
17150,25,12.5
17200,24,12
17250,23,11.5
17300,23,11.5
17350,22,11
17400,22,11
17450,21,10.5
17500,21,10.5
17550,20,10
17600,20,10
17650,20,10
17700,20,10
17750,19,9.5
17800,19,9.5
17850,19,9.5
17900,19,9.5
17950,19,9.5
18000,18,9
18050,18,9
18100,18,9
18150,19,9.5
18200,18,9
18250,18,9
18300,17,8.5
18350,17,8.5
18400,17,8.5
18450,17,8.5
18500,17,8.5
18550,17,8.5
18600,17,8.5
18650,16,8
18700,16,8
18750,16,8
18800,16,8
18850,16,8
18900,15,7.5
18950,15,7.5
19000,15,7.5
19050,14,7
19100,14,7
19150,14,7
19200,14,7
19250,14,7
19300,18,9
19350,11,5.5
19400,13,6.5
19450,13,6.5
19500,13,6.5
19550,12,6
19600,13,6.5
19650,12,6
19700,12,6
19750,12,6
19800,12,6
19850,12,6
19900,12,6
19950,12,6
20000,11,5.5
20050,11,5.5
20100,11,5.5
20150,13,6.5
20200,11,5.5
20250,11,5.5
20300,11,5.5
20350,11,5.5
20400,11,5.5
20450,11,5.5
20500,11,5.5
20550,14,7
20600,11,5.5
20650,11,5.5
20700,10,5
20750,10,5
20800,10,5
20850,12,6
20900,10,5
20950,10,5
21000,10,5
21050,10,5
21100,10,5
21150,10,5
21200,10,5
21250,9,4.5
21300,10,5
21350,10,5
21400,10,5
21450,10,5
21500,10,5
21550,10,5
21600,9,4.5
21650,9,4.5
21700,10,5
21750,9,4.5
21800,9,4.5
21850,9,4.5
21900,9,4.5
21950,7,3.5
22000,9,4.5
22050,9,4.5
22100,9,4.5
22150,9,4.5
22200,9,4.5
22250,9,4.5
22300,9,4.5
22350,9,4.5
22400,9,4.5
22450,9,4.5
22500,9,4.5
22550,9,4.5
22600,9,4.5
22650,8,4
22700,9,4.5
22750,9,4.5
22800,8,4
22850,9,4.5
22900,8,4
22950,8,4
23000,8,4
23050,8,4
23100,8,4
23150,8,4
23200,8,4
23250,8,4
23300,8,4
23350,8,4
23400,8,4
23450,8,4
23500,8,4
23550,8,4
23600,8,4
23650,8,4
23700,8,4
23750,8,4
23800,8,4
23850,8,4
23900,8,4
23950,8,4
24000,8,4
24050,8,4
24100,8,4
24150,9,4.5
24200,8,4
24250,8,4
24300,7,3.5
24350,7,3.5
24400,7,3.5
24450,7,3.5
24500,7,3.5
24550,7,3.5
24600,7,3.5
24650,7,3.5
24700,7,3.5
24750,8,4
24800,7,3.5
24850,8,4
24900,7,3.5
24950,8,4
25000,7,3.5
25050,8,4
25100,7,3.5
25150,7,3.5
25200,7,3.5
25250,7,3.5
25300,7,3.5
25350,7,3.5
25400,7,3.5
25450,7,3.5
25500,7,3.5
25550,7,3.5
25600,7,3.5
25650,7,3.5
25700,7,3.5
25750,7,3.5
25800,7,3.5
25850,7,3.5
25900,6,3
25950,7,3.5
26000,7,3.5
26050,7,3.5
26100,7,3.5
26150,7,3.5
26200,7,3.5
26250,7,3.5
26300,7,3.5
26350,7,3.5
26400,7,3.5
26450,7,3.5
26500,7,3.5
26550,7,3.5
26600,7,3.5
26650,7,3.5
26700,7,3.5
26750,7,3.5
26800,6,3
26850,9,4.5
26900,7,3.5
26950,7,3.5
27000,7,3.5
27050,7,3.5
27100,6,3
27150,7,3.5
27200,7,3.5
27250,6,3
27300,6,3
27350,6,3
27400,6,3
27450,7,3.5
27500,6,3
27550,10,5
27600,7,3.5
27650,7,3.5
27700,6,3
27750,6,3
27800,6,3
27850,6,3
27900,6,3
27950,8,4
28000,7,3.5
28050,7,3.5
28100,6,3
28150,6,3
28200,6,3
28250,6,3
28300,6,3
28350,6,3
28400,6,3
28450,6,3
28500,6,3
28550,6,3
28600,6,3
28650,6,3
28700,5,2.5
28750,6,3
28800,7,3.5
28850,6,3
28900,6,3
28950,6,3
29000,6,3
29050,6,3
29100,8,4
29150,6,3
29200,6,3
29250,6,3
29300,6,3
29350,2,1
29400,6,3
29450,6,3
29500,6,3
29550,6,3
29600,6,3
29650,6,3
29700,6,3
29750,6,3
29800,6,3
29850,6,3
29900,6,3
29950,6,3
30000,6,3
30050,6,3
30100,6,3
30150,6,3
30200,6,3
30250,6,3
30300,6,3
30350,6,3
30400,6,3
30450,6,3
30500,6,3
30550,6,3
30600,6,3
30650,6,3
30700,6,3
30750,6,3
30800,6,3
30850,6,3
30900,6,3
30950,6,3
31000,6,3
31050,6,3
31100,6,3
31150,6,3
31200,6,3
31250,6,3
31300,6,3
31350,5,2.5
31400,5,2.5
31450,5,2.5
31500,5,2.5
31550,5,2.5
31600,6,3
31650,6,3
31700,6,3
31750,5,2.5
